"","estado","alimentacion","planeacion_gubernamental","fiscal","creditos_empresariales","educacion_y_capacitacion","economia_digital","obra_publica","agricultura_y_pesca","empleo","salud","state","entropia"
"1","aguascalientes",1,0,8,1,1,1,1,1,2,0,"AGS",1.64622455382987
"2","baja_california",5,1,2,5,1,0,0,0,1,1,"BC",1.68004662939848
"3","baja_california_sur",0,1,4,3,0,0,0,1,2,0,"BCS",1.46813993901621
"4","campeche",1,4,2,1,0,4,2,2,2,1,"CAM",2.06888464582756
"5","coahuila_de_zaragoza",0,4,0,1,1,2,0,0,0,0,"CLA",1.2130075659799
"6","colima",2,0,4,3,0,0,0,1,0,0,"CMA",1.27985422583367
"7","chiapas",1,0,0,1,0,0,0,0,0,0,"CHIA",0.693147180559945
"8","chihuahua",2,0,5,4,1,0,0,1,3,0,"CHUA",1.63043258262889
"9","ciudad_de_mexico",1,1,0,2,1,0,0,0,3,1,"DF",1.67698777432242
"10","durango",1,2,4,1,0,0,0,0,0,0,"DGO",1.2130075659799
"11","guanajuato",1,5,1,5,2,1,0,0,1,1,"GTO",1.80493843314675
"12","guerrero",1,2,4,1,0,0,1,0,1,0,"GRO",1.6094379124341
"13","hidalgo",2,2,4,2,1,1,1,1,2,0,"HID",2.07944154167984
"14","jalisco",3,1,0,2,0,0,0,1,1,0,"JAL",1.49417513828931
"15","mexico",1,1,3,2,0,0,1,1,0,0,"EDOMEX",1.67698777432242
"16","michoacan_de_ocampo",3,3,4,2,1,1,0,0,1,0,"MICH",1.80650716526167
"17","morelos",1,2,1,2,0,0,0,0,0,0,"MOR",1.32966134885476
"18","nayarit",2,0,4,0,0,1,0,0,0,0,"NAY",0.955699891112534
"19","nuevo_leon",1,3,2,1,0,0,0,0,0,0,"NL",1.27703425946614
"20","oaxaca",1,3,3,2,1,1,1,1,1,0,"OAX",2.06920246582036
"21","puebla",0,2,4,3,1,1,0,2,0,0,"PUE",1.67159527802125
"22","queretaro",1,1,0,0,0,0,0,0,3,1,"QUER",1.242453324894
"23","quintana_roo",2,4,4,0,0,1,0,0,0,0,"QROO",1.2636544318821
"24","san_luis_potosi",2,1,3,3,0,0,1,1,0,0,"SLP",1.67262544615032
"25","sinaloa",0,0,2,1,0,0,0,0,0,0,"SIN",0.636514168294813
"26","sonora",1,1,2,1,1,0,0,0,0,0,"SON",1.56071040904141
"27","tabasco",0,0,0,0,0,1,1,0,0,0,"TAB",0.693147180559945
"28","tamaulipas",0,1,0,1,0,0,1,0,0,0,"TAM",1.09861228866811
"29","tlaxcala",2,1,2,4,0,0,1,0,0,1,"TLAX",1.64173471218752
"30","veracruz_de_ignacio_de_la_llave",0,1,3,1,0,3,0,0,0,0,"VER",1.25548232517875
"31","yucatan",2,1,6,7,0,0,0,2,5,0,"YUC",1.60542003579151
"32","zacatecas",0,2,3,3,0,0,0,0,2,0,"ZAC",1.3661588475692
